name,release_date,developer,achievements,original_price,percent_positive,num_reviews,multiplayer,mature
DOOM,"May 12, 2016",id Software,54.0,$19.99,92%,42550.0,True,False
PLAYERUNKNOWN'S BATTLEGROUNDS,"Dec 21, 2017",PUBG Corporation,37.0,$29.99,49%,836608.0,True,True
BATTLETECH,"Apr 24, 2018",Harebrained Schemes,128.0,$39.99,71%,7030.0,True,False
DayZ,"Dec 13, 2018",Bohemia Interactive,,$44.99,61%,167115.0,True,False
EVE Online,"May 6, 2003",CCP,,Free,74%,11481.0,True,False
Grand Theft Auto V: Premium Online Edition,,Rockstar North,,,,,True,False
Devil May Cry 5,"Mar 7, 2019","CAPCOM Co., Ltd.",51.0,$59.99,92%,9645.0,True,True
Human: Fall Flat,"Jul 22, 2016",No Brakes Games,55.0,$14.99,91%,23763.0,True,False
They Are Billions,"Dec 12, 2017",Numantian Games,34.0,$29.99,85%,12127.0,False,False
Warhammer: Chaosbane,"May 31, 2019",Eko Software,43.0,$49.99,44%,904.0,True,True
For The King,"Apr 19, 2018",IronOak Games,72.0,$19.99,83%,4600.0,True,False
Danganronpa V3: Killing Harmony,"Sep 25, 2017","Spike Chunsoft Co., Ltd.",41.0,$39.99,84%,3547.0,False,False
TERA,"May 5, 2015","Bluehole, Inc.",,Free to Play,78%,14184.0,True,True
Call of Duty®: Modern Warfare® Remastered,"Jul 27, 2017","Raven Software,Beenox",50.0,1.020,51%,1118.0,True,False
Stonehearth,"Jul 25, 2018",Radiant Entertainment,,$19.99,75%,5484.0,True,False
Hearts of Iron IV: Mobilization Pack,,Paradox Development Studio,,,,,True,False
Clone Drone in the Danger Zone,"Mar 16, 2017",Doborog Games,12.0,$14.99,94%,1901.0,True,False
GOD EATER 3,"Feb 7, 2019",BANDAI NAMCO Studios Inc.,32.0,$59.99,77%,1945.0,True,False
War Robots,"Apr 5, 2018",Pixonic,,Free To Play,44%,1797.0,True,False
Halo Wars: Definitive Edition,"Apr 20, 2017","Ensemble Studios,Behaviour Interactive,343 Industries",75.0,$19.99,88%,2442.0,True,False
Call of Duty®: Black Ops,"Nov 9, 2010",Treyarch,68.0,1.020,84%,4190.0,True,False
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,"Apr 9, 2019","CAPCOM Co., Ltd.",30.0,$29.99,97%,382.0,False,False
